Learning Rate,Epochs,F1 Score,Accuracy,Average Loss,Description,Seed
0.0001,5,0.5720309205903021,0.6655683690280065,0.6367138336625016,Epoch 1,7052020
0.0001,5,0.5408239700374532,0.6633717737506865,0.7257563639105412,Epoch 2,7052020
0.0001,5,0.5384041759880686,0.6600768808347062,0.8088901853352263,Epoch 3,7052020
0.0001,5,0.569583931133429,0.6705107084019769,0.8116983515128755,Epoch 4,7052020
0.0001,5,0.5324283559577677,0.6595277320153762,0.9018883992705429,Epoch 5,7052020
0.0001,5,0.5362776025236593,0.6628440366972477,0.8952766401427132,Test,7052020
0.0001,5,0.6422018348623852,0.700164744645799,0.6073295892330638,Epoch 1,1
0.0001,5,0.631220177232447,0.7029104887424492,0.5823892281766523,Epoch 2,1
0.0001,5,0.5857142857142856,0.6814936847885777,0.649658137246182,Epoch 3,1
0.0001,5,0.5844618674269423,0.6798462383305875,0.7044438081875182,Epoch 4,1
0.0001,5,0.5560407569141194,0.6650192202086765,0.7887262388279563,Epoch 5,1
0.0001,5,0.5619335347432024,0.6674311926605505,0.7767067785773959,Test,1
0.0001,5,0.6531678641410843,0.7084019769357496,0.6025987466176351,Epoch 1,2
0.0001,5,0.7022900763358779,0.742998352553542,0.5292766439287286,Epoch 2,2
0.0001,5,0.7535571997723391,0.7622185612300933,0.4864903379950607,Epoch 3,2
0.0001,5,0.7414925373134329,0.7622185612300933,0.4883520990087275,Epoch 4,2
0.0001,5,0.7265917602996256,0.7594728171334432,0.4970013054839352,Epoch 5,2
0.0001,5,0.7291666666666665,0.7614678899082569,0.5022045065249715,Test,2
0.0001,5,0.6461336828309306,0.7034596375617792,0.6034595621259589,Epoch 1,3
0.0001,5,0.7110289587184226,0.742449203734212,0.5283683878287935,Epoch 2,3
0.0001,5,0.7477064220183486,0.7583745194947831,0.4959156398187604,Epoch 3,3
0.0001,5,0.7206982543640897,0.7539813289401428,0.516769002926977,Epoch 4,3
0.0001,5,0.719753086419753,0.7506864360241625,0.5103751211835627,Epoch 5,3
0.0001,5,0.7084967320261438,0.7442660550458715,0.511006772518158,Test,3
0.0001,5,0.6905339805825242,0.7199341021416804,0.5976122460867229,Epoch 1,4
0.0001,5,0.6626016260162602,0.7265238879736409,0.5454185735761073,Epoch 2,4
0.0001,5,0.7323442136498516,0.7523338824821527,0.5083108763945731,Epoch 3,4
0.0001,5,0.683116883116883,0.7320153761669412,0.5518282719871455,Epoch 4,4
0.0001,5,0.6502395619438741,0.7193849533223503,0.5953270850474375,Epoch 5,4
0.0001,5,0.6532951289398281,0.7224770642201835,0.5992123750703675,Test,4
0.0001,5,0.7013463892288861,0.7320153761669412,0.5974423571636802,Epoch 1,5
0.0001,5,0.7638248847926268,0.7748489840746843,0.5044399703803816,Epoch 2,5
0.0001,5,0.7154678548695099,0.7545304777594728,0.504485781778369,Epoch 3,5
0.0001,5,0.7796988287785834,0.7830862163646348,0.4697418735738386,Epoch 4,5
0.0001,5,0.7661807580174927,0.7797913234486545,0.46845582964127525,Epoch 5,5
0.0001,5,0.7543424317617865,0.7729357798165137,0.47085405566862654,Test,5